"MesZL","ŠL/HA","aBZL","HethZL","Sign Name","Unicode Glyph","Unicode Name","Comments "
302,166,271,"259","KASKAL","U+1219C 𒆜","KASKAL","  "
137,81,35,"26","MUD","U+12137 𒄷 & U+1212D 𒄭","HU & HI","  "
378,228,274,"260","KIB"," "," ","  "
,"105n3",274,"260","GÁNoverGÁNcrossed","U+120FA 𒃺","GAN2 CROSSING GAN2","old sign, LAK 278 "
,"296n2",274,"260*B","GIŠoverGIŠcrossed","U+12112 𒄒","GISH CROSSING GISH","old sign, LAK 276 "
661,411,337,"261","U/BÙR","U+1230B 𒌋","U","""10"" "
720,459,360,"262","DUL (U.TÚG)","U+1230B 𒌋 & U+12306 𒌆","U & TUG2","DUL not really splittable "
670,418," ","263","U.DAR (AŠDAR)","U+1230B 𒌋 & U+1206F 𒁯","U & DAR","  "
665,415,340,"264","UDUN (U.MU)","U+1230B 𒌋 & U+1222C 𒈬","U & MU","  "
731,455,"239b","265","Ù (IGI.DIB)","U+12147 𒅇","IGI & DIB","  "
